Node has 901 -  Counter({(1, 1): 234, (1, 0): 229, (0, 1): 219, (0, 0): 219})
Node has 901 -  Counter({(0, 1): 241, (1, 1): 227, (1, 0): 226, (0, 0): 207})
Node has 901 -  Counter({(0, 0): 253, (0, 1): 227, (1, 1): 213, (1, 0): 208})
Node has 901 -  Counter({(0, 1): 250, (0, 0): 232, (1, 0): 215, (1, 1): 204})
Node has 901 -  Counter({(1, 1): 259, (0, 0): 227, (1, 0): 210, (0, 1): 205})
Node has 901 -  Counter({(0, 1): 236, (1, 1): 222, (1, 0): 222, (0, 0): 221})
Node has 901 -  Counter({(1, 0): 238, (0, 1): 227, (0, 0): 219, (1, 1): 217})
Node has 901 -  Counter({(1, 0): 236, (0, 1): 229, (0, 0): 228, (1, 1): 208})
Node has 901 -  Counter({(1, 1): 234, (0, 0): 226, (0, 1): 224, (1, 0): 217})
Node has 901 -  Counter({(0, 0): 239, (1, 1): 228, (1, 0): 225, (0, 1): 209})
Node has 901 -  Counter({(0, 0): 249, (1, 0): 226, (1, 1): 219, (0, 1): 207})
Node has 901 -  Counter({(0, 1): 248, (0, 0): 228, (1, 1): 213, (1, 0): 212})
Node has 901 -  Counter({(0, 0): 230, (1, 1): 227, (0, 1): 223, (1, 0): 221})
Node has 901 -  Counter({(1, 0): 249, (0, 1): 221, (1, 1): 217, (0, 0): 214})
Node has 901 -  Counter({(1, 1): 230, (1, 0): 229, (0, 0): 228, (0, 1): 214})
Node has 901 -  Counter({(0, 1): 249, (1, 0): 233, (0, 0): 214, (1, 1): 205})
Node has 901 -  Counter({(1, 1): 246, (0, 1): 231, (0, 0): 215, (1, 0): 209})
